"""time""","""serial""","number_of_people"
2019-08-01 20:00:00,"0000000074f765a7",0
2019-08-01 20:00:00,"000000007b5207b6",2
2019-08-01 20:00:00,"0000000096918cfa",0
2019-08-01 20:00:00,"00000000a53ed894",2
2019-08-01 20:00:00,"00000000aa852af1",18
2019-08-01 20:00:00,"00000000afef4555",11
2019-08-01 20:00:00,"00000000b33a8357",0
2019-08-01 20:00:00,"00000000cd16b8ef",0
2019-08-01 20:00:00,"00000000d747f075",0
2019-08-01 20:00:00,"00000000e8a064a4",1
2019-08-01 20:00:00,"00000000f1124bca",1
2019-08-01 20:00:00,"00000000fb7600be",16
2019-08-01 20:00:00,"00000000fdda10fe",24
2019-08-01 20:00:00,"00000000fffb8cf0",4
2019-08-01 21:00:00,"0000000006dd41f6",5
2019-08-01 21:00:00,"000000000f4919c9",1
2019-08-01 21:00:00,"0000000019fb59c4",10
2019-08-01 21:00:00,"00000000342570c2",4
2019-08-01 21:00:00,"0000000038bf9618",6
2019-08-01 21:00:00,"0000000038d83d41",17
2019-08-01 21:00:00,"000000004ef3150d",7
2019-08-01 21:00:00,"0000000053c6c2be",4
2019-08-01 21:00:00,"00000000675d5200",5
2019-08-01 21:00:00,"000000006b087f40",13
2019-08-01 21:00:00,"000000006b44cce7",37
2019-08-01 21:00:00,"0000000074f765a7",0
2019-08-01 21:00:00,"000000007b5207b6",2
2019-08-01 21:00:00,"0000000096918cfa",0
2019-08-01 21:00:00,"00000000a53ed894",4
2019-08-01 21:00:00,"00000000aa852af1",18
2019-08-01 21:00:00,"00000000afef4555",8
2019-08-01 21:00:00,"00000000b33a8357",0
2019-08-01 21:00:00,"00000000cd16b8ef",0
2019-08-01 21:00:00,"00000000d747f075",0
2019-08-01 21:00:00,"00000000e8a064a4",1
2019-08-01 21:00:00,"00000000f1124bca",0
2019-08-01 21:00:00,"00000000fb7600be",16
2019-08-01 21:00:00,"00000000fdda10fe",21
2019-08-01 21:00:00,"00000000fffb8cf0",3
2019-08-01 22:00:00,"0000000006dd41f6",5
2019-08-01 22:00:00,"000000000f4919c9",0
